"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","Surprise","%Surp","Price Change","Report"
"CDW","Cdw Corporation...","22,498","bmo","1.53","1.82","+0.29 ","+18.95% ","3.81%",""
"CXW","Corecivic, Inc....","939","amc","0.53","0.63","+0.10 ","+18.87% ","--",""
"NUS","Nu Skin Enterpr...","3,209","amc","1.18","1.40","+0.22 ","+18.64% ","-14.74%",""
"TPB","Turning Point B...","1,050","bmo","0.71","0.84","+0.13 ","+18.31% ","-3.33%",""
"RUSHA","Rush Enterprise...","2,310","amc","0.61","0.72","+0.11 ","+18.03% ","-0.97%",""
"PAG","Penske Automoti...","5,297","bmo","2.11","2.49","+0.38 ","+18.01% ","0.52%",""
"NTB","Bank Of N.t. Bu...","1,789","amc","0.73","0.86","+0.13 ","+17.81% ","-1.89%",""
"SLF","Sun Life Financ...","28,376","amc","0.96","1.13","+0.17 ","+17.71% ","1.36%",""
"TRMB","Trimble Inc.","18,510","amc","0.52","0.61","+0.09 ","+17.31% ","-1.28%",""
"BDC","Belden Inc","2,145","bmo","0.78","0.90","+0.12 ","+15.38% ","-9.64%",""
"KO","Cocacola Compan...","213,153","bmo","0.41","0.47","+0.06 ","+14.63% ","-0.20%",""
"WTS","Watts Water Tec...","4,318","amc","1.01","1.15","+0.14 ","+13.86% ","-2.92%",""
"ASGN","Asgn Incorporat...","4,995","amc","1.16","1.31","+0.15 ","+12.93% ","-1.23%",""
